"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 29 09:21:44 UTC 2023","Fri Dec 29 09:21:46 UTC 2023","2496","tests","test_auth","TestAuth","","","test_login_form_validation",""
"passed","Fri Dec 29 09:21:53 UTC 2023","Fri Dec 29 09:21:53 UTC 2023","586","tests","test_cart","TestCart","","","test_remove_item_from_cart",""
"broken","Fri Dec 29 09:22:36 UTC 2023","Fri Dec 29 09:22:45 UTC 2023","8728","tests","test_sidebar_menu","TestSidebarMenu","","","test_reset_app_state",""
"passed","Fri Dec 29 09:22:20 UTC 2023","Fri Dec 29 09:22:24 UTC 2023","3975","tests","test_make_order","TestMakeOrder","","","test_make_order",""
"passed","Fri Dec 29 09:22:25 UTC 2023","Fri Dec 29 09:22:28 UTC 2023","3533","tests","test_sidebar_menu","TestSidebarMenu","","","test_logout",""
"passed","Fri Dec 29 09:22:03 UTC 2023","Fri Dec 29 09:22:06 UTC 2023","3552","tests","test_filter","TestFilter","","","test_filter_lo_hi",""
"passed","Fri Dec 29 09:21:40 UTC 2023","Fri Dec 29 09:21:43 UTC 2023","2502","tests","test_auth","TestAuth","","","test_login_form",""
"passed","Fri Dec 29 09:21:58 UTC 2023","Fri Dec 29 09:22:02 UTC 2023","3608","tests","test_filter","TestFilter","","","test_filter_z_a",""
"passed","Fri Dec 29 09:22:11 UTC 2023","Fri Dec 29 09:22:15 UTC 2023","3573","tests","test_item_card","TestItemCard","","","test_navigate_to_item_card_by_image",""
"passed","Fri Dec 29 09:21:47 UTC 2023","Fri Dec 29 09:21:48 UTC 2023","523","tests","test_cart","TestCart","","","test_add_to_cart_from_catalog",""
"passed","Fri Dec 29 09:22:16 UTC 2023","Fri Dec 29 09:22:19 UTC 2023","3551","tests","test_item_card","TestItemCard","","","test_navigate_to_item_card_by_title",""
"passed","Fri Dec 29 09:22:29 UTC 2023","Fri Dec 29 09:22:35 UTC 2023","6154","tests","test_sidebar_menu","TestSidebarMenu","","","test_about",""
"passed","Fri Dec 29 09:21:51 UTC 2023","Fri Dec 29 09:21:52 UTC 2023","594","tests","test_cart","TestCart","","","test_remove_from_cart_in_item_card",""
"passed","Fri Dec 29 09:21:50 UTC 2023","Fri Dec 29 09:21:50 UTC 2023","610","tests","test_cart","TestCart","","","test_add_to_cart_from_item_card",""
"passed","Fri Dec 29 09:21:54 UTC 2023","Fri Dec 29 09:21:58 UTC 2023","3519","tests","test_filter","TestFilter","","","test_filter_a_z",""
"passed","Fri Dec 29 09:21:48 UTC 2023","Fri Dec 29 09:21:49 UTC 2023","610","tests","test_cart","TestCart","","","test_remove_from_cart_catalog",""
"passed","Fri Dec 29 09:22:07 UTC 2023","Fri Dec 29 09:22:11 UTC 2023","3558","tests","test_filter","TestFilter","","","test_filter_hi_lo",""
